"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","aditional_info"
"Family Learning Day: Discover More . . .","Activities for every member of the family to enjoy together including and information market place of local services.","Free",,17/10/09 10:00,17/10/09 13:00,TRUE,"Other","Other",,"Alison Rollinson",,"01672 56500034",,,"Pewsey Vale Gm School","Wilcot Road",,,"Pewsey",,"SN9 5EW",,FALSE,
"Family Learning Feast","Food related fun for all the family to celebrate this year’s Family Learning Festival.","Free",,23/10/09 11:00,23/10/09 12:00,TRUE,"Food and Cookery","Workshop",,"Markfield Library",,"0116 305 3642",,,"Markfield Library","Oakfield Avenue",,,"Markfield",,"LE67 9WG",,TRUE,
"Family Learning Fun Day","Taster sessions in Yoga, K'Nex, Flower Craft, Art, Story Time, Balloon Craft and with Pixie, the Family Fun Robot.","Free",,17/10/09 10:00,17/10/09 15:00,TRUE,"Health and Wellbeing","Taster Session",,"Maeve Chambers",,"020 8428 1182",,,"Kenton Learning Centre","86 Glebe Avenue",,,"Harrow",,"HA3 9LF",,FALSE,
"Family learning open day","Open Day to promote new family learning and healthy living facilities","Free",,19/10/09 09:00,,TRUE,"Health and Wellbeing","Other",,,,,,,"41 Broadway",,,"Peterborough","Peterborough",,"PE1 1SQ",,TRUE,
"Family Manga","Create your own Japanese comic characters and learn the basic techniques of manga drawing.  Up to 2 children aged 4 and over can attend with one family member.  Ref: FL42","Free",,27/10/09 14:00,27/10/09 16:00,TRUE,"Culture, Arts & Crafts","Class",,,,"020 8543 9292",,,"Raynes Park Library","Approach Road",,,"Raynes Park",,"SW20 8BA",,TRUE,
"Family Mini Beasts with Morden Hall Park","Parents and toddlers will have the chance to learn about mini-beasts.  Live mini-beast present and related craft activities will be on offer!  Up to 2 children aged under 5  and one parent or carer.  Course Ref:  FL33","Free",,21/10/09 10:00,21/10/09 12:00,TRUE,"Nature & the Environment","Class",,,,"020 8543 9292",,,"St Marks Family Centre","28 St Marks Road",,,"Mitcham",,"CR4 2LF",,TRUE,
"Family Painting Workshop","Discover the artist within you and feel free to be creative!  Paints, brushes and paper provided.  For children 5+.","Free",5,24/10/09 14:00,24/10/09 15:30,TRUE,"Culture, Arts & Crafts","Class",,"Amber Linell",,"0778 069 5989",,,"Stoke Newington Library","Church Street",,,"Hackney",,"N16 0JS",,FALSE,
"Family Pilates Session","Exercise and relaxation for all ages.  Please wear comfortable clothes and footwear and bring a mat with you.  For children 6+.","Free",6,26/10/09 13:00,26/10/09 14:00,TRUE,"Sport and Physical Activity","Class",,"Amber Linell",,"0778 069 5989",,,"Stoke Newington Library","Church Street",,,"Hackney",,"N16 0JS",,FALSE,
"Family Storytime","Come along and hear some family stories and enjoy making a special family craft.Free to attend at Wokingham Library no booking required.Suitable for families and children of all ages.","Free",,17/10/09 14:00,17/10/09 15:00,TRUE,"Music and Performing Arts","Other",,,,"(0118) 978 1368",,,"Wokingham Library","Denmark Street",,,"Wokingham",,"RG40 2BB",,FALSE,"http://www.wokingham.gov.uk/libraries"
"Family Storytime","Come along and hear some family stories and enjoy making a special family craft.Free to attend at Lower Earley Library no booking required.Suitable for families and children of all ages.","Free",,17/10/09 11:00,17/10/09 12:00,TRUE,"Music and Performing Arts","Other",,,,"0118 9312150",,,"Lower Early Library","Chalfont Close",,"Earley","Reading",,"RG6 5HZ",,FALSE,"http://www.wokingham.gov.uk/libraries"
