"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required"
"Computers - Choose IT - Use IT",,,,07/10/09 18:30,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Choose IT - Use IT",,,,14/10/09 18:30,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Choose IT - Use IT",,,,21/10/09 18:30,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Choose IT - Use IT",,,,28/10/09 18:30,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Choose IT - Use IT",,,,04/11/09 18:30,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Choose IT - Use IT",,,,11/11/09 18:30,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Web Page Skills For Beginner",,,,14/10/09 19:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Web Page Skills For Beginner",,,,21/10/09 19:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Web Page Skills For Beginner",,,,28/10/09 19:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Web Page Skills For Beginner",,,,04/11/09 19:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Web Page Skills For Beginner",,,,11/11/09 19:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - Web Page Skills For Beginner",,,,18/11/09 19:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ",,
"Computers - PC Starter Skills",,,,15/10/09 14:00,,,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR",,
"Computers - PC Starter Skills",,,,22/10/09 14:00,,,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR",,
"Computers - PC Starter Skills",,,,29/10/09 14:00,,,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR",,
"Computers - PC Starter Skills",,,,05/11/09 14:00,,,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR",,
"Computers - PC Starter Skills",,,,12/11/09 14:00,,,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR",,
"Computers - PC Starter Skills",,,,19/11/09 14:00,,,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR",,
"Digital Photography Workshop - Begs 1",,,,03/10/09 10:30,,,"Culture, Arts & Crafts","Workshop",,,,,,,"Station Road",,,,"Wells","Norfolk","NR23 1EA",,
"Computers - PC Internet Skills",,,,15/10/09 13:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"Computers - PC Internet Skills",,,,22/10/09 13:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"Computers - PC Internet Skills",,,,29/10/09 13:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"Computers - PC Internet Skills",,,,05/11/09 13:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"Computers - PC Internet Skills",,,,12/11/09 13:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"Computers - PC Internet Skills",,,,19/10/09 13:00,,,"Technology & Broadcasting","Workshop",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,01/10/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,08/10/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,15/10/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,22/10/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,29/10/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,05/11/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,12/11/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,19/11/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,26/11/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"French Advanced",,,,03/12/09 09:45,,,"Languages and Travel","Class",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH",,
"Spanish Advanced",,,,01/10/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,08/10/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,15/10/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,22/10/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,29/10/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,05/11/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,12/11/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,19/11/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,26/11/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"Spanish Advanced",,,,03/12/09 19:00,,,"Languages and Travel","Class",,,,,,,"21 Oak Street",,,,"Fakenham","Norfolk","NR21 9DX",,
"French Advanced",,,,02/10/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,09/10/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,16/10/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,23/10/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,30/10/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,06/11/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,13/11/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,20/11/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,27/11/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"French Advanced",,,,04/12/09 10:00,,,"Languages and Travel","Class",,,,,,,"Old Station Way",,"Hempstead Way",,"Holt","Norfolk","NR25 6DH",,
"Cookery - Thai",,,,03/10/09 10:00,,,"Food and Cookery","Class",,,,,,,"101 Cannerby Lane",,"Sprowston",,"Norwich","Norfolk","NR7 8NE",,
"An Introduction To Using Reminiscence",,,,05/10/09 09:30,,,"Health and Wellbeing","Other",,,,,,,"169 King Street",,,,"Norwich","Norfolk","NR1 1QW",,
"Indian Head Massage Workshop",,,,10/10/09 10:00,,,"Health and Wellbeing","Workshop",,,,,,,"North Site",,"Longfields Road",,"Norwich","Norfolk","NR7 0NB",,
"Digital Photography-Beginners Workshop",,,,24/10/09 10:00,,,"Culture, Arts & Crafts","Workshop",,,,,,,"169 King Street",,,,"Norwich","Norfolk","NR1 1QW",,
"Yoga, Meditation & Deep Relaxation Day",,,,24/10/09 10:00,,,"Health and Wellbeing","Other",,,,,,,"169 King Street",,,,"Norwich","Norfolk","NR1 1QW",,
"Assertiveness At Work",,,,24/10/09 10:00,,,"Community Action","Workshop",,,,,,,"169 King Street",,,,"Norwich","Norfolk","NR1 1QW",,
"Indian Head Massage Workshop",,,,24/10/09 10:00,,,"Health and Wellbeing","Workshop",,,,,,,"169 King Street",,,,"Norwich","Norfolk","NR1 1QW",,
"Cookery - Ideas For Dinner Parties",,,,06/10/09 19:00,,,"Food and Cookery","Class",,,,,,,"Middletons Lane",,,"Hellesdon","Norwich","Norfolk","NR6 5SB",,
"Cookery - Ideas For Dinner Parties",,,,13/10/09 19:00,,,"Food and Cookery","Class",,,,,,,"Middletons Lane",,,"Hellesdon","Norwich","Norfolk","NR6 5SB",,
