ActivityID,ActivityTitle,EventAddress1,EventAddress2,EventAddress3,EventTown,EventCountyID,EventPostCode,EventDetails,TelephonePublic,ContactNamePublic,EventDate,EventTime,BookingRequired,Cost,URL,KeyNum,SitePublishStatus,Active,MCAgreeMention,Latitude,Longitude,Skin
18070,A Day of Fun for all the Family: do something different...learn something new...,Okehampton Primary School,Glendale Rd,,Okehampton,12,EX20 1JB,"Workshope include:storytelling, theatre skills, multisport, dance, animation,circus skills, encironmental arts and crafts, survival and camp skills, ukulele and junk band,bee keeping and kite making.",01837 52866,Brian Cunningham,10-Oct-09,10-16.30,TRUE,Free,,{CD1F856B-204B-49BA-AC76-449D9EDE9A95},R,TRUE,TRUE,50.74191466,-4.006165346,
18065,Animation,Highbridge Community Hall,,,Highbridge,50,TA9 3BW,"Make an animation with your family in three hours!!Friendly tutors and a chance to make friends with other families whilst playing with animation.Please call to book your free place.For families with children under the age of 16, living in Highbridge.",1278433187,Kirsty Bucknell,27-Oct-09,"10-1, 2-5",TRUE,Free,,{0E2CB2F5-0BA4-40F7-8E77-AEC049D84DAD},R,TRUE,TRUE,51.21938577,-2.975640271,
18068,Animation,Highbridge Community Hall,,,Highbridge,50,TA9 3BW,"Make an animation with your family in three hours!!Friendly tutors and a chance to make friends with other families whilst playing with animation!Please call to book your free place.For families with children under the age of 16, living in Highbridge.",1278433187,Kirsty Bucknell,30-Oct-09,"10-1, 2-5",TRUE,Free,,{0E2CB2F5-0BA4-40F7-8E77-AEC049D84DAD},R,TRUE,TRUE,51.21938577,-2.975640271,
18066,Digital Photography,Highbridge Community Hall,,,Highbridge,50,TA9 3BW,"Take fun photos with your family in three hours!!Friendly tutors and a chance to make friends with other families whilst playing with digital cameras and making pictures look silly or professional!Please call to book your free place.For families with children under the age of 16, living in Highbridge.",1278433187,Kirsty Bucknell,28-Oct-09,"10-1, 2-5",TRUE,Free,,{0E2CB2F5-0BA4-40F7-8E77-AEC049D84DAD},R,TRUE,TRUE,51.21938577,-2.975640271,
18069,Digital Photogrpahy,Highbridge Community Hall,,,Highbridge,50,TA9 3BW,"Take photos and with your family.Friendly tutors and a chance to make friends with other families whilst playing taking silly or professional photographs and editing them.Please call to book your free place.For families with children under the age of 16, living in Highbridge.",1278433187,Kirsty Bucknell,31-Oct-09,"10-1, 2-5",TRUE,Free,,{0E2CB2F5-0BA4-40F7-8E77-AEC049D84DAD},R,TRUE,TRUE,51.21938577,-2.975640271,
18050,Family Fun Day,Hadleigh Library,High Street,,Hadleigh,54,IP7 5AG,Face PaintingIT Online Taster SessionsFamily Illustrations.Trasure Hunt.Library Quiz.,01473 823778,David Cook,18-Oct-09,1030am,FALSE,Free,www.suffolk.gov.uk,{27993C83-EB45-4011-89BB-45A7B3F9AF55},R,TRUE,TRUE,52.04213672,0.954845227,house3
16686,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,22-Oct-09,Various,TRUE,Free - most events,,{452579F9-26EF-44C5-BE04-09802E8EF2FC},P,TRUE,TRUE,52.20191482,0.117858463,house3
16687,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,23-Oct-09,Various,TRUE,Free - most events,,{6B6BBAC9-FDC4-4194-ADE6-C5D7DAAA0E3C}a,P,TRUE,,52.20191482,0.117858463,house3
16688,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,24-Oct-09,Various,TRUE,Free - most events,,{4EF1F9AF-B04C-47F5-98D3-195E0D059DC0}a,P,TRUE,,52.20191482,0.117858463,house3
16689,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,25-Oct-09,Various,TRUE,Free - most events,,{01C4B515-5B9E-4BE5-B705-A23CD4337ED9}a,P,TRUE,,52.20191482,0.117858463,house3
16690,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,26-Oct-09,Various,TRUE,Free - most events,,{B29D05F7-91F0-45A8-93C2-E867D883F040}a,P,TRUE,,52.20191482,0.117858463,house3
16691,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,27-Oct-09,Various,TRUE,Free - most events,,{B0E33C30-5BA2-4E72-AF63-D4D88476D640}a,P,TRUE,,52.20191482,0.117858463,house3
16692,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,28-Oct-09,Various,TRUE,Free - most events,,{5C840D8D-A129-4EAB-9D3C-6C1B41689FAE}a,P,TRUE,,52.20191482,0.117858463,house3
16693,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,29-Oct-09,Various,TRUE,Free - most events,,{2E1E21DE-7131-483F-9E58-76FCDD0516F5}a,P,TRUE,,52.20191482,0.117858463,house3
16694,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,30-Oct-09,Various,TRUE,Free - most events,,{22FC105C-C96D-4CF4-BE79-36549C584E64}a,P,TRUE,,52.20191482,0.117858463,house3
16695,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,31-Oct-09,Various,TRUE,Free - most events,,{ED260079-AA1C-4AF9-A4FA-F8ED6294FC13}a,P,TRUE,,52.20191482,0.117858463,house3
16696,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,01-Nov-09,Various,TRUE,Free - most events,,{05915DB8-8902-4A91-8926-9705527ED924}a,P,TRUE,,52.20191482,0.117858463,house3
16697,Festival of Ideas,University of Cambridge,The Pitt Building,Trumpington Street,Cambridge,0,CB2 1RP,"A new Festival of Ideas in arts, humanities and social sciences will take place in Cambridge, from 22 October to 2 November 2008, organised by the University of Cambridge, involving numerous museums and departments, and collaborating with several educational and community partners.  Please see website for full details.  Most events are free and do not require booking, but there is a charge for a few events and some events also need booking in advance.  Events are at locations throughout Cambridge.",01223 766766,Festivals Assistant,02-Nov-09,Various,TRUE,Free - most events,,{87BEEA82-DF09-478C-844C-C93738390EE8}a,P,TRUE,,52.20191482,0.117858463,house3
