"Code","Name","StartDate","NoOfWeeks","StartTime","ADDRESS1","ADDRESS2","ADDRESS3","ADDRESS4","POSTCODE"
"SA139E9L","Computers - Choose IT - Use IT"," 7/10/09",6,"18:30 ","Oriel Avenue","Gorleston","Gt Yarmouth","Norfolk","NR31 7JJ"
"SA213E9L","Computers - Web Page Skills For Beginner"," 14/10/09",6,"19:00 ","Oriel Avenue","Gorleston","Gt Yarmouth","Norfolk","NR31 7JJ"
"SA207E9L","Computers - PC Starter Skills"," 15/10/09",6,"14:00 ","30 Regent Street","Great Yarmouth",,"Norfolk","NR30 1RR"
"AA123T9L","Digital Photography Workshop - Begs 1"," 3/10/09",1,"10:30 ","Station Road",,"Wells","Norfolk","NR23 1EA"
"SA142T9L","Computers - PC Internet Skills"," 15/10/09",6,"13:00 ","Grammar School Road",,"North Walsham","Norfolk","NR28 9JH"
"LA063T9L","French Advanced"," 1/10/09",10,"9:45 ","Grammar School Road",,"North Walsham","Norfolk","NR28 9JH"
"LD168T9L","Spanish Advanced"," 1/10/09",10,"19:00 ","21 Oak Street",,"Fakenham","Norfolk","NR21 9DX"
"LA064T9L","French Advanced"," 2/10/09",10,"10:00 ","Old Station Way","Hempstead Way","Holt","Norfolk","NR25 6DH"
"CA702N9L","Cookery - Thai"," 3/10/09",1,"10:00 ","101 Cannerby Lane","Sprowston","Norwich","Norfolk","NR7 8NE"
"DA601N9L","An Introduction To Using Reminiscence"," 5/10/09",1,"9:30 ","169 King Street",,"Norwich","Norfolk","NR1 1QW"
"CA685N9L","Indian Head Massage Workshop"," 10/10/09",1,"10:00 ","North Site","Longfields Road","Norwich","Norfolk","NR7 0NB"
"AA499N9L","Digital Photography-Beginners Workshop"," 24/10/09",1,"10:00 ","169 King Street",,"Norwich","Norfolk","NR1 1QW"
"CA681N9L","Yoga, Meditation & Deep Relaxation Day"," 24/10/09",1,"10:00 ","169 King Street",,"Norwich","Norfolk","NR1 1QW"
"CA686N9L","Assertiveness At Work"," 24/10/09",1,"10:00 ","169 King Street",,"Norwich","Norfolk","NR1 1QW"
"CA688N9L","Indian Head Massage Workshop"," 24/10/09",1,"10:00 ","169 King Street",,"Norwich","Norfolk","NR1 1QW"
"CA682N9L","Cookery - Ideas For Dinner Parties"," 6/10/09",5,"19:00 ","Middletons Lane","Hellesdon","Norwich","Norfolk","NR6 5SB"
"SA167N9L","Computers - PC Internet Skills"," 12/10/09",6,"14:00 ","Norman Centre","Bignold Road","Norwich","Norfolk","NR3 2QZ"
"SA168N9L","Computers - Web Page Skills For Improver"," 12/10/09",6,"19:00 ","Norman Centre","Bignold Road","Norwich","Norfolk","NR3 2QZ"
"SA166N9L","Computers - Web Page Skills For Beginner"," 16/10/09",6,"12:30 ","Norman Centre","Bignold Road","Norwich","Norfolk","NR3 2QZ"
"AA510N9L","Plumbing-An Intro To Basic Domestic"," 1/10/09",8,"19:00 ","Salhouse Road",,"Norwich","Norfolk","NR7 9DF"
"AA522N9L","Flower Painting"," 2/10/09",10,"10:00 ","Oakfield Road","Cringleford","Norwich","Norfolk","NR4 6XF"
"AA532N9L","Poetry Workshop"," 1/10/09",12,"19:00 ","169 King Street",,"Norwich","Norfolk","NR1 1QW"
"SA153S9L","Computers - Tracing Your Family History"," 7/10/09",3,"19:00 ","Adult Education Office","Church Street","Attleborough","Norfolk","NR17 2AH"
"SA192S9L","Computers - Web Page Skills For Beginner"," 14/10/09",6,"18:30 ","Wymondham High School","Norwich Road","Wymondham","Norfolk","NR18 0NT"
"SA248S9L","Computers - PC Internet Skills"," 15/10/09",6,"9:00 ","Wymondham High School","Norwich Road","Wymondham","Norfolk","NR18 0NT"
"PA315S9L","Gentle Yoga"," 1/10/09",10,"9:45 ","Tanner Street","Thetford","Thetford","Norfolk","IP24 2BQ"
"CA004W9L","Aromatherapy Workshop"," 3/10/09",1,"10:00 ","Iceni Partnership","Campinglands","Swaffham","Norfolk","PE37 7RB"
"CA005W9L","Birds In Autumn - Titchwell"," 17/10/09",1,"10:00 ","Titchwell RSPB Reserve",,"King's Lynn","Norfolk",
"CA017W9L","Yoga, Meditation & Deep Relaxation"," 24/10/09",1,"10:00 ","Caley Mill, Lynn Road","Heacham","King's Lynn","Norfolk","PE31 7JE"
"SA201W9L","Computers - Tracing Your Family History"," 5/10/09",3,"17:30 ","River Lane","Gaywood","King's Lynn","Norfolk","PE30 4HD"
"SA195W9L","Computers - Choose IT - Use IT"," 16/10/09",6,"10:00 ","Rosebery Avenue","Gaywood","King's Lynn","Norfolk","PE30 4AA"
