"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","more_info"
"Computers - Choose IT - Use IT",,,,07/10/09 18:30,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ","Norfolk County Council",,
"Computers - Choose IT - Use IT",,,,14/10/09 18:30,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ","Norfolk County Council",,
"Computers - Choose IT - Use IT",,,,21/10/09 18:30,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ","Norfolk County Council",,
"Computers - Choose IT - Use IT",,,,28/10/09 18:30,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ","Norfolk County Council",,
"Computers - Web Page Skills For Beginner",,,,14/10/09 19:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ","Norfolk County Council",,
"Computers - Web Page Skills For Beginner",,,,21/10/09 19:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ","Norfolk County Council",,
"Computers - Web Page Skills For Beginner",,,,28/10/09 19:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Oriel Avenue",,"Gorleston",,"Gt Yarmouth","Norfolk","NR31 7JJ","Norfolk County Council",,
"Computers - PC Starter Skills",,,,15/10/09 14:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR","Norfolk County Council",,
"Computers - PC Starter Skills",,,,22/10/09 14:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR","Norfolk County Council",,
"Computers - PC Starter Skills",,,,29/10/09 14:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"30 Regent Street",,,,"Great Yarmouth","Norfolk","NR30 1RR","Norfolk County Council",,
"Digital Photography Workshop - Begs 1",,,,03/10/09 10:30,,TRUE,"Culture, Arts & Crafts","Workshop",,,,,,,"Station Road",,,,"Wells","Norfolk","NR23 1EA","Norfolk County Council",,
"Computers - PC Internet Skills",,,,15/10/09 13:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"Grammar School Road",,,,"North Walsham","Norfolk","NR28 9JH","Norfolk County Council",,
