"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","additional_info"
"Yoga","This class explores the Sivananda style of yoga which focuses on relaxation, breathing exercises (pranayama) and a set sequence of 12 basic poses with more advanced variations. It is a gentle, restorative style of Hatha Yoga where you hold asanas (poses) for longer.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",05/10/09 11:15,05/10/09 12:45,TRUE,"Health and Wellbeing","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Yoga","This class explores the Sivananda style of yoga which focuses on relaxation, breathing exercises (pranayama) and a set sequence of 12 basic poses with more advanced variations. It is a gentle, restorative style of Hatha Yoga where you hold asanas (poses) for longer.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",12/10/09 11:15,12/10/09 12:45,TRUE,"Health and Wellbeing","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Yoga","This class explores the Sivananda style of yoga which focuses on relaxation, breathing exercises (pranayama) and a set sequence of 12 basic poses with more advanced variations. It is a gentle, restorative style of Hatha Yoga where you hold asanas (poses) for longer.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",19/10/09 11:15,19/10/09 12:45,TRUE,"Health and Wellbeing","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Yoga","This class explores the Sivananda style of yoga which focuses on relaxation, breathing exercises (pranayama) and a set sequence of 12 basic poses with more advanced variations. It is a gentle, restorative style of Hatha Yoga where you hold asanas (poses) for longer.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",26/10/09 11:15,26/10/09 12:45,TRUE,"Health and Wellbeing","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Latin Fit","Get fit, have fun and set the dance floor on fire with the Cha Cha, Paso Doble, Jive and Samba! No partner is required for this class.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",05/10/09 13:00,05/10/09 13:45,TRUE,"Music and Performing Arts","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Latin Fit","Get fit, have fun and set the dance floor on fire with the Cha Cha, Paso Doble, Jive and Samba! No partner is required for this class.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",12/10/09 13:00,12/10/09 13:45,TRUE,"Music and Performing Arts","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Latin Fit","Get fit, have fun and set the dance floor on fire with the Cha Cha, Paso Doble, Jive and Samba! No partner is required for this class.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",19/10/09 13:00,19/10/09 13:45,TRUE,"Music and Performing Arts","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Latin Fit","Get fit, have fun and set the dance floor on fire with the Cha Cha, Paso Doble, Jive and Samba! No partner is required for this class.","All classes cost £5.00 each, £4.00 for concessions","16yrs+",26/10/09 13:00,26/10/09 13:45,TRUE,"Music and Performing Arts","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Majestic Moves","This class is ideal for adults trying ballet for the first time. Keep fit and supple at a pace that suits you with the beauty and grace of ballet.","All classes cost £5.00 each, £4.00 for concessions","18yrs+",05/10/09 14:00,05/10/09 15:30,TRUE,"Music and Performing Arts","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Majestic Moves","This class is ideal for adults trying ballet for the first time. Keep fit and supple at a pace that suits you with the beauty and grace of ballet.","All classes cost £5.00 each, £4.00 for concessions","18yrs+",12/10/09 14:00,12/10/09 15:30,TRUE,"Music and Performing Arts","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
"Majestic Moves","This class is ideal for adults trying ballet for the first time. Keep fit and supple at a pace that suits you with the beauty and grace of ballet.","All classes cost £5.00 each, £4.00 for concessions","18yrs+",19/10/09 14:00,19/10/09 15:30,TRUE,"Music and Performing Arts","Class",,"DanceEast Box Office","info@danceeast.co.uk","01473 295230",,,"Jerwood DanceHouse","Foundry Lane",,,"Ipswich",,"IP4 1DJ","ace_october",FALSE,"Booking is not required for any of these classes. Just turn up 5-10mins before the class starts and pay at the Box Office."
